PIN	PropClass	Address	City	Zip	SaleDate	SaleAmt	TaxRate	ASL	ASFL	AI	ASB	ASFB	ASTotal	ASFTotal	Subdivision	FullBath	Style	HalfBath	LivingSqFt	CentralAir	BldgSqFt	Fireplace	YearBuilt	Porch	Basement	Attic	Garage	Lot	Block	Unit	Building	Area	Status
02-24-04-304-003-0000	RESIDENTIAL	38 ASPEN LN	BRAIDWOOD	60481	04/01/1998	$15,000	7.2039 (2016)	8,396	0	0	2,797	0	11,193	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	38	N/A	N/A	N/A	N/A	N/A
02-24-04-304-002-0000	RESIDENTIAL	40 ASPEN LN	BRAIDWOOD	60481	05/01/1999	$58,000	7.2039 (2016)	7,783	0	0	12,972	0	20,755	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	40	N/A	N/A	N/A	N/A	N/A
02-24-04-304-006-0000	RESIDENTIAL	32 ASPEN LN	BRAIDWOOD	60481	06/01/2016	$18,500	7.2039 (2016)	8,396	0	0	425	0	8,821	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	32	N/A	N/A	N/A	N/A	N/A
02-24-05-312-002-0000	RESIDENTIAL	484 W ANNDON DR	BRAIDWOOD	60408	12/08/1995	$105,000	7.2039 (2016)	8,940	0	0	46,688	0	55,628	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2	N/A	N/A	N/A	N/A	N/A
02-24-05-312-003-0010	RESIDENTIAL	472 W ANNDON DR	BRAIDWOOD	60408	04/01/2001	$144,900	7.2039 (2016)	6,705	0	0	30,895	0	37,600	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-04-304-004-0000	RESIDENTIAL	36 ASPEN LN	BRAIDWOOD	60481	09/01/1997	$10,000	7.2039 (2016)	8,396	0	0	1,399	0	9,795	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	36	N/A	N/A	N/A	N/A	N/A
02-24-04-304-005-0000	RESIDENTIAL	34 ASPEN LN	BRAIDWOOD	60481	09/01/2015	$16,800	7.2039 (2016)	8,396	0	0	700	0	9,096	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	34	N/A	N/A	N/A	N/A	N/A
02-24-04-304-007-0000	RESIDENTIAL	30 ASPEN LN	BRAIDWOOD	60481	09/09/1989	$12,000	7.2039 (2016)	7,783	0	0	10,389	0	18,172	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	30	N/A	N/A	N/A	N/A	N/A
02-24-05-312-001-0000	RESIDENTIAL	496 W ANNDON DR	BRAIDWOOD	60408	05/01/2003	$124,900	7.2039 (2016)	7,923	0	0	38,767	0	46,690	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1	N/A	N/A	N/A	N/A	N/A
02-24-05-312-005-0000	RESIDENTIAL	450 W ANNDON DR	BRAIDWOOD	60408	08/01/1995	$117,735	7.2039 (2016)	8,940	0	0	45,313	0	54,253	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5	N/A	N/A	N/A	N/A	N/A
02-24-05-312-004-0000	RESIDENTIAL	462 W ANNDON DR	BRAIDWOOD	60408	05/01/2007	$177,500	7.2039 (2016)	8,940	0	0	46,688	0	55,628	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4	N/A	N/A	N/A	N/A	N/A
02-24-05-312-006-0000	RESIDENTIAL	442 W ANNDON DR	BRAIDWOOD	60408	09/01/1995	$132,500	7.2039 (2016)	8,940	0	0	49,433	0	58,373	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6	N/A	N/A	N/A	N/A	N/A
